Title 品名,URL 網頁,objectID,Artist 作者,Artist Inscriptions 作者款識,Colophons 題跋,Seals 印章,Museum 館藏,Museum Object Identifier 收藏號碼,Publications / Citations 出版,Authenticity Concerns 真偽問題
寒林圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1198&Dept=P,1198,Li Cheng 李成,(none),"Qianlong emperor 清高宗 (乾隆)
樹為經霜淡。泉因潄石寒。望而饒冷意。足以契澄觀。那藉丹青絢。猶看柯榦攢。大家真别調。秋氣滿林端。戊子（西元一七六八年）仲秋月御題。 

Wang Duo 王鐸
李成寒林圖。琅華館藏。乙酉識。孟津王鐸家珍。
古雅天成。繩式後代。己丑二月廿八日。無咎觀識。王鐸。","王鐸之印
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠定鑑
寶笈重編
寧壽宮鑑藏寶
樂壽堂鑒藏寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑒璽","National Palace Museum, Taibei 台北故宮",故畫00003400000,"石渠寶笈續編（寧壽宮），第五冊，頁2646
故宮書畫錄（卷五），第三冊，頁35
故宮書畫圖錄，第一冊，頁145-146
林麗江，〈宋李成寒林圖　軸〉，收入林麗江、何炎泉主編《寫盡繁華-晚明文化人王世貞與他的志業》（臺北：國立故宮博物院，2022.10），頁100-101。",
群峰霽雪,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1266&Dept=P,1266,Li Cheng 李成,(none),"Gao Shiqi 高士奇
雪積峰峰白。烟寒樹樹稠。寺深疎磐遠。澗咽凍泉流。靜對衣憎薄。澄懷路可求。毫端師造化。畫史重營丘。康熙戊寅(1698)七月。秋暑尚熾。懸營丘群峰霽雪圖於簡靜齋壁。漫題。江村高士奇竹窗。","士奇
高澹人
竹窗
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠定鑑
寶笈重編
重華宮鑑藏寶
嘉慶御覽之寶
宣統御覽之寶
李霨
坦園圖書
 江村祕藏
抱瓮翁
心遠堂
宛平朱世熏印","National Palace Museum, Taibei 台北故宮",故畫00003300000,"石渠寶笈續編（重華宮），第三冊，頁1508
故宮書畫錄（卷五），第三冊，頁34-35
故宮書畫圖錄，第一冊，頁143-144
《故宮文物月刊》，第69期（1988年12月），封底裡。
1.本社，〈宋李成群峰霽雪〉，《故宮文物月刊》，第69期（1988年12月），封底裡。",
寒江釣艇,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1223&Dept=P,1223,Li Cheng 李成,(none),"Anonymous
萬仞之山高插天。瀑布飛流千尺泉。山高仰見三峽近。白晝但見雲連烟。岧嶤直下幾百里。巖上有松巖下水。老松偃蓋走虯龍。六月蕭蕭寒風起。江間浪靜一漁舟。怡然獨釣披羊裘。長竿掣得□鰲上。不帶紅塵半點愁。此翁佳趣誰能若。呂望嚴陵擬斟酌。江山可易心不移。樂山樂水有真樂。畫師好手良難逢。萬物收拾歸圖中。便將風月等閒看。不出門庭要令生意終無窮。文山復心為戴氏□□書。

青山崔嵬勢接天。山中白雪飛岩泉。山耶水耶倚空壁。蒼蒼萬頃和雲煙。初疑蓬萊三萬里。無波無濤隔弱水。又疑帝子撒瓊瑤。破肉寒商揚石起。悠悠一叟棹輕舟。四時穿著如狐裘。厖眉白髮天下老。寸心炯炯無閑愁。嗟哉子陵未似若。錦鱗白酒恣傾酌。十二時中風雨來。兩耳不聞自歡樂。好山好水真難逢。誰能置我乎岩中。還君此畫更歎息。□□茅屋可歲終。何窮。（原文僅寫至此處）。文江。默庵。","嘉慶御覽之寶
宣統御覽之寶
畢瀧藏書畫記","National Palace Museum, Taibei 台北故宮",故畫00003600000,"故宮書畫錄（卷五），第三冊，頁36-37
故宮書畫圖錄，第一冊，頁149-150
1.許郭璜，〈宋李成寒江釣艇〉，收入《李郭山水畫系特展》（臺北：國立故宮博物院，1999年初版），頁19-22。 2.〈北宋李成寒江釣艇圖〉，收入國立故宮博物院編輯委員會編，《名寶上珍》（臺北：國立故宮博物院，1995年初版一刷），頁212。",
臨流獨坐圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=45&Dept=P,45,Fan Kuan 范寬,(none),"He Quan 何權
茆堂結構背江干。日日愛看江上山。箕踞盤陀吟未穩。不知身在畫圖間。何權。

Sheng Yangyou 昇楊牖
亦有名賢遠市朝。蕭然環堵住山椒。虛亭未足容清氣。據石臨流興自饒。昇楊牖。

Wang Xian 王閑
藐石林兮熹微。望佳人兮不歸。目眇眇兮愁絕。悵青山兮夕霏。王閑。

Xu Kexie 徐克諧
年來深媿竊時名。爭似無官去就輕。李渤自甘居少室。謝安應不念蒼生。小橋曲徑孤村遠。茂樹青泉一雨晴。何日風流成二老。青鞵布襪遂幽情。時洪武丙辰五月既望。太末徐克諧題於邑庠之論堂。

Su Boheng 蘇伯衡
大山合沓橫陣雲。小山窈窕瓜文分。大山小山誰鑿斷。迴溪中有波沄沄。扁舟長繫太古石。略彴遙通何處村。數間茅屋少人住。萬壑松風多畫聞。臨流獨坐者誰子。嗒然已似忘昏昕。逍遙時詠池上作。酩酊自倒林下尊。時來好作東山起。麋鹿焉可同其羣。眉山蘇伯衡。

Liu Boshan 劉伯善
峰巒兮嶄岩。溪谷兮潺湲。樂哉幽居兮。敻隔乎塵寰。吾將抱琴兮。相從乎泉石之間。伯善。

Chi Yin 池裀
畫工能畫山。不識山之真。泉石阿誰曾著身。天機精到若有神。高低遠近隨所置。心與造化工無二。點布眾翻墨浪勻。迅掃尖排筆鋒利。翠嵐紅樹滿秋山。斷崖水落當松關。松下丈人坐不去。似訝此境非人間。君不見李將軍。王摩詰。一幅千尋妙難述。崩石驚濤聳觀目。瀟灑充君眼中物。廬山五老雁蕩峰。芒履杖藜何日同。佳境滿堂秋色動。山要隱隱來清風。池裀。

Lv Ying 呂熒
輕綃水墨橫秋色。一曲溪山似輞川。柳浪欹湖俱在眼。何時花落醉猶眠。呂熒。

Zhang Yi 張彝
自西南兮遐觀。江漫漫兮峰巑巑。雲冥冥兮上覆。奚紆迴兮中盤。吾不知其為何所兮。抑池陽之羣山。九華崒嵂以前列兮。浮圖依約乎崇巒。望謫仙兮不見。覺天宇之空間。青松白日以晦昧兮。碧巘倒浸乎蒼灣。石慘慘兮玉潤。楓蕭蕭兮霜殷。路崎嶇兮直上。欲南接乎荊蠻。渺夫人兮獨處。超逍遙兮盤桓。人間豈不有異境兮。嗟身紆兮青綸。安得羽翼極八表之外兮。駕黃鵠兮徠還。張彝。

Sang Yishi 桑以時
曹君手持山水圖。墨色黯淡雲糢糊。請我試作山水歌。對之神思馳八區。憶昔薄遊齊楚間。不見好畫常見山。匡廬巫峽千萬仞。江水下注聲潺潺。泰山三峰倚天碧。徂徠龜蒙皆辟易。上登絕頂俯日月。元氣鴻濛闔且闢。此圖恍惚欲相似。更有高閣清江裡。何人最得隱者趣。行到水窮望雲起。千林高樹動寒風。半崖飛瀑走玉虹。輕舟長向古渡泊。小逕自與仙源通。曹君愛畫意無極。此畫千金未可得。明朝肯作鹿門期。布襪青鞋踏秋色。桑以時。

Qianlong emperor 清高宗 (乾隆)
秋山真骨露。得骨范寬稱。大壑自為敻。崇峰不計層。溪崖觀水客。雲寺習禪僧。遠望弗離坐。誠看縮地能。癸巳初夏。御題。","□□之後
徐懋和
蘇平仲
金華
安期里生
劉氏伯善
中□後人
呂熒慎明之印
張秉彝印
桑以時印
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠定鑑
寶笈重編
寧壽宮鑑藏寶
樂壽堂鑒藏寶
古希天子
壽
宣統御覽之寶
天目吳士讓圖書
前坵吳氏家藏
王獻臣印
希代之珍
王氏圖書子孫永寶之
式古堂
式古堂書畫印
令之
式古堂書畫
卞令之鑒定（重一）
仙客","National Palace Museum, Taibei 台北故宮",故畫00003700000,"石渠寶笈續編（寧壽宮），第五冊，頁2648
故宮書畫錄（卷五），第三冊，頁37-39
故宮書畫圖錄，第一冊，頁159-161
劉芳如，〈宋范寬臨流獨坐圖　軸〉，收入《典範與流傳-范寬及其傳派》（臺北：國立故宮博物院，2015.07），頁94-105、324-325。
國立故宮博物院編輯委員會，〈宋范寬臨流獨坐圖　軸〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁68-69。
林麗江，〈宋范寬臨流獨坐圖　軸〉，收入林麗江、何炎泉主編《寫盡繁華-晚明文化人王世貞與他的志業》（臺北：國立故宮博物院，2022.10），頁104-105。",
山鷓棘雀圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=46&Dept=P,46,Huang Jucai 黃居寀,(none),"Zhaoji emperor 宋徽宗 (趙佶)
黃居寀山鷓棘雀圖

Qianlong emperor 清高宗 (乾隆)
棘雀愛卑栖。山鷓喜清廓。雀在高棘枝。鷓步低泉壑。圖之素絹中。短言識其畧。常聞古人云。君子慎所托。御題。

Liang Shizheng 梁詩正
斥鷃守藩籬。鷦𩿾俯寥廓。大小隨所如。寧湏限邱壑。閑尋逍遙義。雀鷓得其略。翾飛高下間。畫手偶然託。臣梁詩正恭和。

Li Zongwan 勵宗萬
么禽羽毛族。所志在遐廓。唶唶棲棘叢。鈎輈啼澗壑。瞻彼鸞鳳群。翱翔逞雄略。振翰乘春風。上林欣有託。臣勵宗萬恭和。

Zhang Ruoai 張若靄
𩿾鷽同一飛。天宇本澄廓。潔露飲朱草。明霞餐黛壑。期不愧鴛鸞。何致哂渠略。高卑慎自處。含毫有深託。臣張若靄恭和。","幾暇鍳賞之璽
乾隆御筆
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
養心殿鑒藏寶
嘉慶御覽之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑒璽
雙螭
宣和（微缺）
政和（微缺）
睿思東閣
緝熙殿寶（漫漶微缺）
司印（半印）","National Palace Museum, Taibei 台北故宮",故畫00003900000,"石渠寶笈初編（養心殿），上冊，頁641
故宮書畫錄（卷五），第三冊，頁43
1.譚怡令，〈宋黃居寀山鷓棘雀圖〉，收入王耀庭、許郭璜、陳階晉編，《故宮書畫菁華特輯》（臺北：國立故宮博物院，1987年初版，2001年再版），頁78-79。 2.李玉珉，〈宋黃居寀山鷓棘雀圖　軸〉，收入林柏亭主編，《大觀-北宋書畫特展》（臺北：國立故宮博物院，2006年初版一刷），頁172-177。 3.譚怡令，〈國之重寶 — 書畫精萃特展〉，《故宮文物月刊》，第19期（1984年10月），頁21-22。 4.譚怡令，〈宋黃居寀山鷓棘雀〉，《故宮文物月刊》，第100期（1991年7月），頁72。 5.李玉珉，〈黃家體製的代表作─ 黃居寀〈山鷓棘雀圖〉   〉，《故宮文物月刊》，第277期（2006年4月），頁32-39。 6.江兆申，〈山鷓棘雀、早春與文會(談故宮三張宋畫)〉，《故宮季刊》，第十一卷第四期（1977年夏），頁13-21。 7.李玉珉，〈宋黃居寀山鷓棘雀圖〉，收入蔡玫芬主編，《精彩一百　國寶總動員》（臺北：國立故宮博物院，2011年九月初版一刷），頁254。
國立故宮博物院編輯委員會，〈宋黃居寀山鷓棘雀圖　軸〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁78-79。",
雪霽江行圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=13943&Dept=P,13943,Guo Zhongshu 郭忠恕,(none),"Zhaoji emperor 宋徽宗 (趙佶)
雪霽江行圖。郭忠恕真跡。

Qianlong emperor 清高宗 (乾隆)
大幅何年被割裂。竿繩到岸沒人牽。江行底識尝雪霽。剩有瘦金十字全。辛亥（西元一七九一年）新正御題。","八徵耄念之寶
自彊不息
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
寶笈重編
石渠定鑑
重華宮鑑藏寶
嘉慶御覽之寶
宣統御覽之寶
蕉林秘玩","National Palace Museum, Taibei 台北故宮",故畫00004100000,"石渠寶笈續編（重華宮），第三冊，頁1508
故宮書畫錄（卷五），第三冊，頁31
故宮書畫圖錄，第一冊，頁127-128
1.林莉娜，〈五代郭忠恕雪霽江行圖〉，收入林莉娜主編，《宮室樓閣之美 - 界畫特展》（臺北：國立故宮博物院，2000年初版），頁22-23、97-98。 2.國立故宮博物院編輯委員會，〈五代郭忠恕雪霽江行〉，收入國立故宮博物院編輯委員會編，《界畫特展圖錄》（臺北：國立故宮博物院，1986年初版），頁54。 3.陳韻如，〈宋郭忠恕雪霽江行圖　軸〉，收入林柏亭主編，《大觀-北宋書畫特展》（臺北：國立故宮博物院，2006年初版一刷），頁240-245。
林莉娜，〈宋郭忠恕雪霽江行圖　軸〉，收入劉芳如主編《遺珠-大阪市立美術館珍藏書畫》（臺北：國立故宮博物院，2021.08），頁44-47、261。",
長堤歸牧,https://digitalarchive.npm.gov.tw/Painting/Content?pid=13944&Dept=P,13944,Qi Xu 祁序,(none),"Wen Yuan 文淵
夫寫生者。禽獸蟲魚。不一其類。而姿態情形。種種各別。非胸有靈機。筆有化工。烏能曲盡其玅乎。即牛之為物也。畜于農家。時而一犁春雨。耕于田間。時或滿坡芳草。逸于隴畔。時若半邨夕照。歸于堤上。風景各殊。而物情亦異。此長堤歸牧圖。筆意瀟灑。宛然生動。昔戴嵩以畫牛擅名。此圖可與抗衡矣。至治五年秋日。文淵識。","祁序畫記
文淵圖書
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠定鑑
寶笈重編
養心殿鑑藏寶
嘉慶御覽之寶
危素印
大明安楚昭勇將軍李氏珍玩
王遜之珍賞記","National Palace Museum, Taibei 台北故宮",故畫00004200000,"石渠寶笈續編（養心殿），第二冊，頁931
故宮書畫錄（卷五），第三冊，頁44-45
故宮書畫圖錄，第一冊，頁177-178",
溪山樓觀,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1229&Dept=P,1229,Yan Wengui 燕文貴,翰林待詔燕文貴筆,"Qianlong emperor 清高宗 (乾隆)
燕文貴溪山樓觀圖。神品。
崇臺百丈計延袤。更占溪山景最幽。名匪方壺定員嶠。居宜黃石與丹邱。樹無秋夏雲常綠。瀑任冬春玉鎮流。誰入維摩居士室。畫禪一脈此中留。戊辰（西元一七四八年）新秋月上澣御題。","乾隆宸翰
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠定鑑
寶笈重編
寧壽宮續入石渠寶笈
樂壽堂鑒藏寶
古希天子
壽
宣統御覽之寶
宣統鑑賞
無逸齋精鑒璽
司印（半印）
蹔得於己快然自足
蔣子厚氏怡閣
蒼巖
棠村審定
安儀周家珍藏","National Palace Museum, Taibei 台北故宮",故畫00004300000,"石渠寶笈續編（寧壽宮），第五冊，頁2673
故宮書畫錄（卷五），第三冊，頁45
故宮書畫圖錄，第一冊，頁179-180
1.陳韻如，〈宋燕文貴溪山樓觀　軸〉，收入林柏亭主編，《大觀-北宋書畫特展》（臺北：國立故宮博物院，2006年初版一刷），頁246-251。 2.馬孟晶，〈「天子之寶 — 台北國立故宮博物院的收藏」展品系列(四) — 繪畫〉，《故宮文物月刊》，第247期（2003年10月），頁20。 3.小川裕充，〈從燕文貴作品中的透視遠近法看中國山水畫透視遠近法之成立〉，《故宮學術季刊》，第二十三卷第一期（2005年秋），頁241-266。
童文娥，〈宋燕文貴溪山樓觀　軸〉，收入劉芳如主編《遺珠-大阪市立美術館珍藏書畫》（臺北：國立故宮博物院，2021.08），頁54-57、263-264。",
秋山琳宇圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1300&Dept=P,1300,Yan Wengui 燕文貴,臣燕文貴恭畫,"Guo Bi 郭畀
梵王殿閣建何年。古樹嵯岈（當作杈枒）勢極天。愛向深崖觀落葉。喜從幽壑聽鳴泉。松聲滿耳頻高下。雲氣無心任去旋。一派秋光山色好。人生居此勝神僊。金城郭畀天錫題。","快雪齋
郭畀
金城郭氏
嘉慶御覽之寶
嘉慶鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
寶笈三編
宣統御覽之寶
宣和之寶
雙龍璽
宣和
壽春堂藏
大明安楚昭勇將軍李氏珍玩
藍田主人寶玩珍記","National Palace Museum, Taibei 台北故宮",故畫00004400000,"石渠寶笈三編（延春閣），第三冊，頁1385
故宮書畫錄（卷五），第三冊，頁45-46
故宮書畫圖錄，第一冊，頁181-182
1.何傳馨，〈(原題宋燕文貴)秋山琳宇圖〉，收入李玉珉主編，《古色：十六至十八世紀藝術的仿古風》（臺北：國立故宮博物院，2003年初版），頁241。 2.本社，〈宋燕文貴秋山琳宇〉，《故宮文物月刊》，第14期（1984年5月），封底裡。",
關山密雪圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1277&Dept=P,1277,Xu Daoning 許道寧,許道寧學李咸熙關山密雪圖,(none),"乾隆御覽之寶
石渠寶笈
御書房鑑藏寶
嘉慶御覽之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑒璽
政和
明昌御覽
沈周寶玩
啟南
華補菴氏
卞令之鑒定
令之
仙客
式古堂
式古堂書畫印
式古堂書畫
劉炳圖印","National Palace Museum, Taibei 台北故宮",故畫00004700000,"石渠寶笈初編（御書房），下冊，頁1138
故宮書畫錄（卷五），第三冊，頁47
故宮書畫圖錄，第一冊，頁187-188
1.何傳馨，〈(原題宋許道寧)關山密雪圖〉，收入李玉珉主編，《古色：十六至十八世紀藝術的仿古風》（臺北：國立故宮博物院，2003年初版），頁260-261。",
